,Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Unnamed: 14
0,SR Tendulkar (INDIA),1989-2012,463,18426,200*,44.83,49,154,5/32,44.48,2,140,0,0.35,
1,DPMD Jayawardene (Asia/SL),1998-2015,448,12650,144,33.37,19,8,2/56,70.37,0,218,0,-36.99,
2,ST Jayasuriya (Asia/SL),1989-2011,445,13430,189,32.36,28,323,6/29,36.75,4,123,0,-4.39,
3,KC Sangakkara (Asia/ICC/SL),2000-2015,404,14234,169,41.98,25,-,-,-,-,402,99,-,
4,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,8064,124,23.57,6,395,7/12,34.51,9,127,0,-10.93,
5,Inzamam-ul-Haq (Asia/PAK),1991-2007,378,11739,137*,39.52,10,3,1/0,21.33,0,113,0,18.19,
6,RT Ponting (AUS/ICC),1995-2012,375,13704,164,42.03,30,3,1/12,34.66,0,160,0,7.37,
7,Wasim Akram (PAK),1984-2003,356,3717,86,16.52,0,502,5/15,23.52,6,88,0,-7.00,
8,MS Dhoni (Asia/INDIA),2004-2019,350,10773,183*,50.57,10,1,1/14,31.00,0,321,123,19.57,
9,M Muralitharan (Asia/ICC/SL),1993-2011,350,674,33*,6.8,0,534,7/30,23.08,10,130,0,-16.27,
10,R Dravid (Asia/ICC/INDIA),1996-2011,344,10889,153,39.16,12,4,2/43,42.50,0,196,14,-3.33,
11,M Azharuddin (INDIA),1985-2000,334,9378,153*,36.92,7,12,3/19,39.91,0,156,0,-2.99,
12,TM Dilshan (SL),1999-2016,330,10290,161*,39.27,22,106,4/4,45.07,0,123,1,-5.80,
13,JH Kallis (Afr/ICC/SA),1996-2014,328,11579,139,44.36,17,273,5/30,31.79,2,131,0,12.56,
14,SR Waugh (AUS),1986-2002,325,7569,120*,32.9,3,195,4/33,34.67,0,111,0,-1.76,
15,WPUJC Vaas (Asia/SL),1994-2008,322,2025,50*,13.68,0,400,8/19,27.53,4,60,0,-13.85,
16,SC Ganguly (Asia/INDIA),1992-2007,311,11363,183,41.02,22,100,5/16,38.49,2,100,0,2.53,
17,PA de Silva (SL),1984-2003,308,9284,145,34.9,11,106,4/30,39.40,0,95,0,-4.50,
18,Yuvraj Singh (Asia/INDIA),2000-2017,304,8701,150,36.55,14,111,5/31,38.68,1,94,0,-2.12,
19,SM Pollock (Afr/ICC/SA),1996-2008,303,3519,130,26.45,1,393,6/35,24.50,5,108,0,1.95,
20,CH Gayle (ICC/WI),1999-2019,301,10480,215,37.83,25,167,5/46,35.48,1,124,0,2.34,
21,BC Lara (ICC/WI),1990-2007,299,10405,169,40.48,19,4,2/5,15.25,0,120,0,25.23,
22,MV Boucher (Afr/SA),1998-2011,295,4686,147*,28.57,1,-,-,-,-,403,22,-,
23,DL Vettori (ICC/NZ),1997-2015,295,2253,83,17.33,0,305,5/7,31.71,2,88,0,-14.38,
24,Mohammad Yousuf (Asia/PAK),1998-2010,288,9720,141*,41.71,15,1,1/0,1.00,0,58,0,40.71,
25,AC Gilchrist (AUS/ICC),1996-2008,287,9619,172,35.89,16,-,-,-,-,417,55,-,
26,Shoaib Malik (PAK),1999-2019,287,7534,143,34.55,9,158,4/19,39.18,0,98,0,-4.63,
27,Saleem Malik (PAK),1982-1999,283,7170,102,32.88,5,89,5/35,33.24,1,81,0,-0.35,
28,SP Fleming (ICC/NZ),1994-2007,280,8037,134*,32.4,8,1,1/8,28.00,0,133,0,4.40,
29,AR Border (AUS),1979-1994,273,6524,127*,30.62,3,73,3/20,28.36,0,127,0,2.25,
30,A Kumble (Asia/INDIA),1990-2007,271,938,26,10.53,0,337,6/12,30.89,2,85,0,-20.35,
31,A Ranatunga (SL),1982-1999,269,7456,131*,35.84,4,79,4/14,47.55,0,63,0,-11.71,
32,MS Atapattu (SL),1990-2007,268,8529,132*,37.57,11,0,-,-,0,70,0,-,
33,S Chanderpaul (WI),1994-2011,268,8778,150,41.6,11,14,3/18,45.42,0,73,0,-3.82,
34,Abdul Razzaq (Asia/PAK),1996-2011,265,5080,112,29.7,3,269,6/35,31.83,3,35,0,-2.12,
35,Younis Khan (PAK),2000-2015,265,7249,144,31.24,7,3,1/3,96.00,0,135,0,-64.75,
36,Waqar Younis (PAK),1989-2003,262,969,37,10.3,0,416,7/36,23.84,13,35,0,-13.53,
37,BB McCullum (NZ),2002-2016,260,6083,166,30.41,5,-,-,-,-,262,15,-,
38,V Sehwag (Asia/ICC/INDIA),1999-2013,251,8273,219,35.05,15,96,4/6,40.13,0,93,0,-5.08,
39,CZ Harris (NZ),1990-2004,250,4379,130,29.0,1,203,5/42,37.50,1,96,0,-8.50,
40,Ijaz Ahmed (PAK),1986-2000,250,6564,139*,32.33,10,5,2/31,95.20,0,90,0,-62.86,
41,GD McGrath (AUS/ICC),1993-2007,250,115,11,3.83,0,381,7/15,22.02,7,37,0,-18.19,
42,HH Gibbs (SA),1996-2010,248,8094,175,36.13,21,-,-,-,-,108,0,-,
43,V Kohli (INDIA),2008-2020,248,11867,183,59.33,43,4,1/15,166.25,0,128,0,-106.91,
44,Saeed Anwar (PAK),1989-2003,247,8824,194,39.21,20,6,2/9,31.83,0,42,0,7.38,
45,MJ Clarke (AUS),2003-2015,245,7981,130,44.58,8,57,5/35,37.64,1,106,0,6.93,
46,JN Rhodes (SA),1992-2003,245,5935,121,35.11,2,0,-,-,0,105,0,-,
47,ME Waugh (AUS),1988-2002,244,8500,173,39.35,18,85,5/24,34.56,1,108,0,4.78,
48,DL Haynes (WI),1978-1994,238,8648,152*,41.37,17,0,-,-,0,59,0,-,
49,Harbhajan Singh (Asia/INDIA),1998-2015,236,1237,49,13.3,0,269,5/31,33.35,3,71,0,-20.05,
50,EJG Morgan (ENG/IRE),2006-2020,236,7368,148,39.4,13,-,-,-,-,83,0,-,
51,WU Tharanga (Asia/SL),2005-2019,235,6951,174*,33.74,15,-,-,-,-,50,0,-,
52,Javed Miandad (PAK),1975-1996,233,7381,119*,41.7,8,7,2/22,42.42,0,71,2,-0.72,
53,MG Bevan (AUS),1994-2004,232,6912,108*,53.58,6,36,3/36,45.97,0,69,0,7.60,
54,LRPL Taylor (NZ),2006-2020,232,8574,181*,48.44,21,0,-,-,0,139,0,-,
55,J Srinath (INDIA),1991-2003,229,883,53,10.63,0,315,5/23,28.08,3,32,0,-17.44,
56,AB de Villiers (Afr/SA),2005-2018,228,9577,176,53.5,25,7,2/15,28.85,0,176,5,24.64,
57,CL Hooper (WI),1987-2003,227,5761,113*,35.34,7,193,4/34,36.05,0,120,0,-0.70,
58,SL Malinga (SL),2004-2019,226,567,56,6.83,0,338,6/38,28.87,8,31,0,-22.04,
59,SK Raina (INDIA),2005-2018,226,5615,116*,35.31,5,36,3/34,50.30,0,102,0,-14.99,
60,N Kapil Dev (INDIA),1978-1994,225,3783,175*,23.79,1,253,5/43,27.45,1,71,0,-3.65,
61,RB Richardson (WI),1983-1996,224,6248,122,33.41,5,1,1/4,46.00,0,75,0,-12.58,
62,RG Sharma (INDIA),2007-2020,224,9115,264,49.27,29,8,2/27,64.37,0,77,0,-15.10,
63,NJ Astle (NZ),1995-2007,223,7090,145*,34.92,16,99,4/43,38.47,0,83,0,-3.54,
64,GW Flower (ZIM),1992-2010,221,6571,142*,33.52,6,104,4/32,40.62,0,86,0,-7.09,
65,B Lee (AUS),2000-2012,221,1176,59,17.81,0,380,5/22,23.36,9,54,0,-5.54,
66,Mashrafe Mortaza (Asia/BDESH),2001-2020,220,1787,51*,13.74,0,270,6/26,32.93,1,62,0,-19.19,
67,Moin Khan (PAK),1990-2004,219,3266,72*,23.0,0,-,-,-,-,214,73,-,
68,Mohammad Hafeez (PAK),2003-2019,218,6614,140*,32.9,11,139,4/41,38.84,0,85,0,-5.94,
69,Mushfiqur Rahim (BDESH),2006-2020,218,6174,144,36.31,7,-,-,-,-,181,44,-,
70,AD Mathews (SL),2008-2020,217,5830,139*,41.94,3,120,6/20,33.35,1,53,0,8.58,
71,CL Cairns (ICC/NZ),1991-2006,215,4950,115,29.46,4,201,5/42,32.80,1,66,0,-3.34,
72,E Chigumbura (Afr/ZIM),2004-2018,213,4340,117,25.23,2,101,4/28,42.31,0,72,0,-17.08,
73,A Flower (ZIM),1992-2003,213,6786,145,35.34,4,0,-,-,0,141,32,-,
74,RS Mahanama (SL),1986-1999,213,5162,119*,29.49,4,0,-,-,0,109,0,-,
75,H Masakadza (ZIM),2001-2019,209,5658,178*,27.73,5,39,3/39,41.94,0,71,0,-14.21,
76,DR Martyn (AUS),1992-2006,208,5346,144*,40.8,5,12,2/21,58.66,0,69,0,-17.85,
77,MN Samuels (WI),2000-2018,207,5606,133*,32.97,10,89,3/12,46.37,0,50,0,-13.39,
78,Tamim Iqbal (BDESH),2007-2020,207,7202,158,36.74,13,0,-,-,0,54,0,-,
79,Shakib Al Hasan (BDESH),2006-2019,206,6323,134*,37.86,9,260,5/29,30.21,2,50,0,7.64,
80,CA Walsh (WI),1985-2000,205,321,30,6.97,0,227,5/1,30.47,1,27,0,-23.49,
81,Z Khan (Asia/INDIA),2000-2012,200,792,34*,12.0,0,282,5/42,29.43,1,43,0,-17.43,
82,HP Tillakaratne (SL),1986-2003,200,3789,104,29.6,2,6,1/3,23.50,0,89,6,6.10,
83,JP Duminy (SA),2004-2019,199,5117,150*,36.81,4,69,4/16,45.55,0,82,0,-8.73,
84,Ramiz Raja (PAK),1985-1997,198,5841,119*,32.09,9,0,-,-,0,33,0,-,
85,A Symonds (AUS),1998-2009,198,5088,156,39.75,6,133,5/18,37.25,1,82,0,2.49,
86,PD Collingwood (ENG),2001-2011,197,5092,120*,35.36,5,111,6/31,38.68,1,108,0,-3.32,
87,CD McMillan (NZ),1997-2007,197,4707,117,28.18,3,49,3/20,35.04,0,44,0,-6.85,
88,GC Smith (Afr/SA),2002-2013,197,6989,141,37.98,10,18,3/30,52.83,0,105,0,-14.84,
89,A Jadeja (INDIA),1992-2000,196,5359,119,37.47,6,20,3/3,54.70,0,59,0,-17.22,
90,BRM Taylor (ZIM),2004-2020,196,6326,145*,35.14,10,9,3/54,45.11,0,125,29,-9.96,
91,JM Anderson (ENG),2002-2015,194,273,28,7.58,0,269,5/23,29.22,2,53,0,-21.63,
92,SK Warne (AUS/ICC),1993-2005,194,1018,55,13.05,0,293,5/33,25.73,1,80,0,-12.68,
93,AB Agarkar (INDIA),1998-2007,191,1269,95,14.58,0,288,6/42,27.85,2,52,0,-13.26,
94,SR Watson (AUS),2002-2015,190,5757,185*,40.54,9,168,4/36,31.79,0,64,0,8.74,
95,RS Kaluwitharana (SL),1990-2004,189,3711,102*,22.22,2,-,-,-,-,132,75,-,
96,HH Streak (Afr/ZIM),1993-2005,189,2943,79*,28.29,0,239,5/32,29.82,1,46,0,-1.53,
97,ADR Campbell (ZIM),1992-2003,188,5185,131*,30.5,7,12,2/20,36.16,0,76,0,-5.66,
98,WJ Cronje (SA),1992-2000,188,5565,112,38.64,2,114,5/32,34.78,1,73,0,3.85,
99,Mahmudullah (BDESH),2007-2020,188,4070,128*,33.63,3,76,3/4,46.85,0,64,0,-13.21,
100,SB Styris (NZ),1999-2011,188,4483,141,32.48,4,137,6/25,35.32,1,73,0,-2.83,
101,IVA Richards (WI),1975-1991,187,6721,189*,47.0,11,118,6/41,35.83,2,100,0,11.16,
102,MEK Hussey (AUS),2004-2012,185,5442,109*,48.15,3,2,1/22,117.50,0,105,0,-69.34,
103,G Kirsten (SA),1993-2003,185,6798,188*,40.95,13,0,-,-,0,61,1,-,
104,KMDN Kulasekara (SL),2003-2017,184,1327,73,15.43,0,199,5/22,33.92,1,46,0,-18.49,
105,MJ Guptill (NZ),2009-2020,183,6843,237*,42.5,16,4,2/6,24.50,0,91,0,18.00,
106,HM Amla (SA),2008-2019,181,8113,159,49.46,27,-,-,-,-,87,0,-,
107,DC Boon (AUS),1984-1995,181,5964,122,37.04,5,0,-,-,0,45,0,-,
108,RR Sarwan (WI),2000-2013,181,5804,120*,42.67,5,16,3/31,36.62,0,45,0,6.05,
109,RP Arnold (SL),1997-2007,180,3950,103,35.26,1,40,3/47,43.47,0,48,0,-8.20,
110,AC Parore (NZ),1992-2002,179,3314,108,25.68,1,-,-,-,-,116,25,-,
111,Mohammad Ashraful (Asia/BDESH),2001-2013,177,3468,109,22.23,3,18,3/26,36.72,0,35,0,-14.49,
112,CEL Ambrose (WI),1988-2000,176,639,31*,10.65,0,225,5/17,24.12,4,45,0,-13.47,
113,Imran Khan (PAK),1974-1992,175,3709,102*,33.41,1,182,6/14,26.61,1,36,0,6.79,
114,M Ntini (ICC/SA),1998-2009,173,199,42*,8.65,0,266,6/22,24.65,4,30,0,-16.00,
115,L Klusener (SA),1996-2004,171,3576,103*,41.1,2,192,6/49,29.95,6,35,0,11.15,
116,KD Mills (NZ),2001-2015,170,1047,54,15.62,0,240,5/25,27.02,1,42,0,-11.39,
